iter	Passed	Remaining
0	0	72
1	1	57
2	1	52
3	2	48
4	2	48
5	3	47
6	3	47
7	4	46
8	4	45
9	4	44
10	5	43
11	5	42
12	6	41
13	6	41
14	7	40
15	7	39
16	7	38
17	8	37
18	8	37
19	9	36
20	9	35
21	9	35
22	10	34
23	10	33
24	11	33
25	11	32
26	11	32
27	12	31
28	12	31
29	13	30
30	13	30
31	13	29
32	14	29
33	14	28
34	15	28
35	15	27
36	15	27
37	16	26
38	16	26
39	17	25
40	17	25
41	17	24
42	18	24
43	18	23
44	18	23
45	19	22
46	19	22
47	20	21
48	20	21
49	20	20
50	21	20
51	21	20
52	22	19
53	22	19
54	23	18
55	23	18
56	24	18
57	24	17
58	24	17
59	25	17
60	26	16
61	26	16
62	27	16
63	28	15
64	28	15
65	28	14
66	29	14
67	29	14
68	30	13
69	30	13
70	31	12
71	31	12
72	31	11
73	32	11
74	32	10
75	33	10
76	33	9
77	33	9
78	34	9
79	34	8
80	35	8
81	35	7
82	36	7
83	36	7
84	37	6
85	37	6
86	38	5
87	38	5
88	38	4
89	39	4
90	39	3
91	40	3
92	40	3
93	41	2
94	41	2
95	42	1
96	42	1
97	43	0
98	43	0
99	44	0
