iter	Passed	Remaining
0	138	137978
1	139	69452
2	140	46582
3	140	35107
4	141	28167
5	142	23527
6	142	20216
7	143	17736
8	143	15803
9	143	14252
10	144	12985
11	144	11929
12	145	11034
13	145	10266
14	146	9601
15	146	9017
16	147	8501
17	147	8042
18	147	7632
19	148	7262
20	148	6934
21	149	6637
22	149	6367
23	150	6117
24	151	5889
25	151	5679
26	152	5483
27	152	5304
28	153	5137
29	154	4980
30	154	4835
31	155	4696
32	155	4569
33	156	4451
34	157	4332
35	157	4227
36	158	4125
37	159	4029
38	159	3942
39	160	3858
40	161	3774
41	161	3691
42	162	3610
43	162	3533
44	163	3459
45	163	3391
46	164	3329
47	164	3265
48	165	3203
49	165	3143
50	165	3087
51	166	3032
52	166	2978
53	167	2927
54	167	2877
55	167	2830
56	168	2784
57	168	2739
58	169	2696
59	169	2655
60	169	2615
61	170	2576
62	170	2539
63	171	2504
64	171	2469
65	172	2435
66	172	2403
67	173	2371
68	173	2340
69	173	2310
70	174	2281
71	174	2252
72	175	2224
73	175	2197
74	176	2171
75	176	2145
76	176	2120
77	177	2095
78	177	2071
79	178	2047
80	178	2028
81	179	2006
82	179	1983
83	179	1961
84	180	1941
85	180	1920
86	181	1900
87	181	1881
88	181	1862
89	182	1843
90	182	1825
91	183	1807
92	183	1790
93	183	1772
94	184	1756
95	184	1739
96	185	1723
97	185	1707
98	185	1692
99	186	1677
100	186	1662
101	187	1647
102	187	1633
103	188	1619
104	188	1606
105	188	1592
106	189	1579
107	189	1567
108	190	1554
109	190	1541
110	190	1529
111	191	1517
112	191	1505
113	192	1494
114	192	1482
115	193	1470
116	193	1459
117	193	1448
118	194	1437
119	194	1427
120	195	1416
121	195	1405
122	195	1395
123	196	1385
124	196	1375
125	196	1366
126	197	1355
127	197	1346
128	198	1337
129	198	1327
130	198	1318
131	199	1310
132	199	1301
133	200	1292
134	200	1284
135	200	1276
136	201	1268
137	201	1260
138	202	1252
139	202	1244
140	203	1237
141	203	1228
142	203	1221
143	204	1214
144	204	1206
145	205	1199
146	205	1192
147	205	1185
148	206	1178
149	206	1172
150	207	1165
151	207	1158
152	208	1152
153	208	1145
154	209	1139
155	209	1133
156	209	1126
157	210	1120
158	210	1114
159	211	1108
160	211	1101
161	211	1096
